Country,Confirmed,Deaths,Recovered
China,5327,348,4941
"Hong Kong SAR, China",1755,298,1433
"Taiwan, China",671,84,507
Canada,250,38,194
Singapore,206,32,172
United States,75,0,67
Viet Nam,63,5,58
Philippines,14,2,12
Germany,10,0,9
Mongolia,9,0,9
Thailand,9,2,7
France,7,1,6
Malaysia,5,2,3
Italy,4,0,4
United Kingdom,4,0,4
India,3,0,3
Republic of Korea,3,0,3
Sweden,3,0,3
Indonesia,2,0,2
South Africa,1,1,0
Switzerland,1,0,1
Spain,1,0,1
Brazil,1,0,1
Russian Federation,1,0,0
Romania,1,0,1
Republic of Ireland,1,0,1
"Macao SAR, China",1,0,1
Kuwait,1,0,1
Finland,1,0,1
Colombia,1,0,1
New Zealand,1,0,1
