Date,Confirmed,Deaths,Recovered
2003-03-17,167,4,0
2003-03-18,219,4,0
2003-03-19,264,9,0
2003-03-20,306,10,0
2003-03-21,350,10,0
2003-03-22,386,11,0
2003-03-24,456,17,0
2003-03-25,487,17,0
2003-03-26,1323,49,0
2003-03-27,1408,53,0
2003-03-28,1485,53,0
2003-03-29,1550,54,0
2003-03-31,1622,58,0
2003-04-01,1804,62,0
2003-04-02,2223,78,0
2003-04-03,2270,79,0
2003-04-04,2353,84,0
2003-04-05,2416,89,0
2003-04-07,2601,98,0
2003-04-08,2671,103,0
2003-04-09,2722,106,0
2003-04-10,2781,111,1337
2003-04-11,2890,116,1373
2003-04-12,2960,119,1425
2003-04-14,3169,144,1499
2003-04-15,3235,154,1515
2003-04-16,3293,159,1548
2003-04-17,3389,165,1597
2003-04-18,3547,182,1749
2003-04-19,3547,182,1749
2003-04-21,3861,217,1873
2003-04-22,3947,229,1935
2003-04-23,4288,251,2032
2003-04-24,4435,263,2114
2003-04-25,4645,274,2203
2003-04-26,4832,293,2236
2003-04-28,5046,321,2339
2003-04-29,5458,353,2424
2003-04-30,5659,372,2467
2003-05-01,5861,391,2559
2003-05-02,6050,417,2639
2003-05-03,6230,435,2698
2003-05-05,6579,461,2760
2003-05-06,6723,478,2822
2003-05-07,6899,495,2881
2003-05-08,7049,506,2955
2003-05-09,7179,514,3019
2003-05-10,7292,526,3083
2003-05-12,7441,552,3189
2003-05-13,7542,573,3292
2003-05-14,7622,587,3391
2003-05-15,7693,598,3478
2003-05-16,7733,611,3584
2003-05-17,7755,623,3668
2003-05-19,7858,643,3841
2003-05-20,7913,662,3978
2003-05-21,7950,666,4079
2003-05-22,8046,682,4210
2003-05-23,8111,689,4320
2003-05-24,8135,696,4462
2003-05-26,8196,725,4656
2003-05-27,8215,735,4781
2003-05-28,8240,745,4891
2003-05-29,8295,750,4994
2003-05-30,8311,754,5123
2003-05-31,8354,764,5258
2003-06-02,8379,770,5397
2003-06-03,8393,772,5470
2003-06-04,8397,772,5741
2003-06-05,8398,775,5825
2003-06-06,8399,779,5932
2003-06-09,8416,784,6275
2003-06-10,8425,789,6452
2003-06-11,8430,789,6576
2003-06-12,8440,790,6665
2003-06-13,8449,792,6788
2003-06-16,8455,799,6984
2003-06-17,8459,799,7086
2003-06-18,8460,801,7143
2003-06-19,8457,804,7173
2003-06-20,8456,804,7213
2003-06-23,8454,805,7319
2003-06-24,8453,807,7343
2003-06-25,8455,808,7360
2003-06-26,8451,809,7366
2003-06-27,8445,810,7396
2003-06-30,8447,811,7417
2003-07-01,8440,812,7417
2003-07-02,8437,812,7419
2003-07-03,8434,812,7422
2003-07-04,8434,812,7426
2003-07-07,8434,812,7426
2003-07-08,8431,812,7428
2003-07-09,8431,812,7438
2003-07-10,8432,812,7444
2003-07-11,8432,813,7447
